userName,score,content,at,sentiment
Ramona Pomales,5,helpful and informative,2025-05-02 23:45:37,0.0
Kimberly Shelton,5,I will NEVER book through anyone else!! ❤️,2025-05-02 23:17:54,0.0
Derek Haygood,5,"we always have an easy experience with air bnb, easy check in.",2025-05-02 22:38:48,0.43333333333333335
karbilbao,5,the best in booking apartments abroad.,2025-05-02 22:11:47,1.0
Jake Kraft,1,newest version will not load calendar and does not give me notifications! bad update. this needs fixed!,2025-05-02 21:48:01,-0.2874999999999999
Bradley Nobin,5,"All I can say is that.... I can't imagine what arranging a holiday without Airbnb would be like, especially if you're on a budget. It's my 1st time using the platform and our 1st overseas trip as a family. Using this platform really took the stress out of researching where to stay, but even more than that, it assisted me to plan our trip and gain insight into making informed decisions to manage logistics accross multiple places. Looking forward to round 1...Mauritius. Thanks a mill Airbnb!",2025-05-02 20:03:03,0.125
Ravindra Kumar,1,"There is not even a single booking done successfully in airbnb. Everytime either a host will decline, or ask for more money. It is very complicated for both, host and person who is booking. Such a waste, spending hours searching for a room, and later nothing is booked. Also, the information mentioned about property is mostly incorrect.",2025-05-02 20:02:25,0.10357142857142856
Rosemarie Eagle,5,very handy when you need somewhere reasonable to stay and bonus with a good host!,2025-05-02 20:01:46,0.6183333333333333
David Sly,1,"I used to love this service, until I wrote an honest review. It wasn't scathing or hyper-critical, I just pointed out some things that were lacking, like bedside tables. The next booking I tried to make was cancelled, so I contacted the host & it was indicated that because of my previous review hosts would be unlikely to accept me. This is because AirBNB lists it's properties by ranking and anything less than 5 stars results in loss of income. What is the point of reviews if you can't be honest?",2025-05-02 19:41:29,0.033333333333333354
Nathanael Lambert,4,very good !!,2025-05-02 19:26:21,1.0
Sidra Khan,5,"really helpful, if you want to descover the world, just do with Airbnb... love it 😀",2025-05-02 18:58:39,0.35
katerina lappa,5,Great offers,2025-05-02 18:42:21,0.45
Ala Bakir,2,airbnb failed to resolve my problem which is very simple,2025-05-02 18:16:24,-0.25
kay simpson,5,"so easy to use, we have never been disappointed",2025-05-02 17:24:01,-0.15833333333333333
Will Fisher,5,Excellent customer service when things go wrong,2025-05-02 16:44:39,0.25
Liz Fielding,5,easy to use lots of lovely properties,2025-05-02 16:06:39,0.4666666666666667
Francis Gray,1,Absolute garbage. Terrible customer service and useless platform.,2025-05-02 15:37:55,-0.43333333333333335
Nan Shee,2,i booked a vacation many months ahead. the host just canceled our stay after a few weeks for their personal reasons. Found an alternative that canceled immediately too later. unprofessional and not reliable!,2025-05-02 14:59:04,0.075
Vrej Sarokhanian,5,"Everything thing is nicely set up. Only one of the most important parts is the address of the places are never there, so you never know if you really want to book the place, unless you get in touch and get the address and that makes to much time.",2025-05-02 13:56:06,0.31666666666666665
Stormi Brown,5,love,2025-05-02 12:07:40,0.5
Annette Plantz,3,"Safety concerns, I was refused a refund for unsafe cabin rental.",2025-05-02 12:03:01,0.0
DEERAY2518,4,love it,2025-05-02 10:51:18,0.5
Amber C.,5,Great!,2025-05-02 10:25:38,1.0
Richard,1,"charged 4 times for a booking that airbnb cancelled on me straight away but still took the money. contacted support heard nothing contacted a second time got put onto a ""specialised team"" that never contacted me and just closed the case.. don't waste your time with this app, an absolute joke",2025-05-02 09:59:13,0.02
Rockluvr,5,"expensive and hate the hidden fees, but never had a problem yet really for years of international and domestic travel. would recommend",2025-05-02 09:48:31,-0.21111111111111114
Richard Abney,5,Love looking at what accommodations are available for a trip and how much we can save over local hotels. 96.5,2025-05-02 09:44:43,0.275
Corina Holguin,5,Luis is awsome and he is very hospitable.,2025-05-02 09:17:23,0.2
Dan Syroid,5,found a nice apartment in Paris close to Notre Dame.,2025-05-02 08:49:33,0.6
Ananta Pourier,5,Amazing! Find great place for good price,2025-05-02 08:11:01,0.75
nicholas gluntz,1,I tried renting a house and was flagged for a potential party that would be thrown. We literally had 2 infants on the reservation and didnt exceed the total allotment of guests. Customer service for this application is complete garbage. I will never be using this again. If I could give less of a star I would.,2025-05-02 07:36:46,-0.016666666666666663
Laura Sanders,5,easy to use,2025-05-02 07:23:03,0.43333333333333335
Lorraine Cassar,5,Easy to use quick and easy,2025-05-02 07:08:56,0.39999999999999997
Craigstones80,5,"Booked multiple family trips with Airbnb UK and abroad, always first class communication and overall service.",2025-05-02 07:01:27,0.08333333333333333
Mikael Grigoryan,2,Prices showing should include all taxes and fees,2025-05-02 06:40:10,0.0
ras jar,1,15 pounds booking fee. pure evil these companies. some regulation needed.,2025-05-02 06:25:18,-0.39285714285714285
Sandy Gotch,5,I loved it there it's quiet and nice and comfy I will be going back soon it is worth it trust,2025-05-02 05:41:02,0.31999999999999995
marc benoit,1,"I payed, can't find my payment",2025-05-02 04:10:11,0.0
Eric wat,5,was so easy to use 😊,2025-05-02 03:55:55,0.43333333333333335
Penny Chapin Fitzgerald,5,we love that there are no hidden fees!,2025-05-02 03:45:04,0.3020833333333333
Jim Bob,5,The best stay for your money. the options are wonderful,2025-05-02 03:36:01,1.0
Rene' Christensen,5,A great service for our trips. Easy to use and have not had any issues with any of our bookings.,2025-05-02 03:31:46,0.6166666666666667
Rommel Cawa,5,Easy to book. Smooth booking process.,2025-05-02 03:08:34,0.4166666666666667
kalash Singh,1,you should start with a option to allow the guest to share realistic pictures of the property,2025-05-02 02:42:04,0.16666666666666666
Genova Izguerra,4,absolutely love hosting on this platform. I feel they really take care of hosts in case there's unruly guests with messes. I do wish certain reviews could be removed though because the situation calls for it. that person got kicked off the platform due to their behavior but the review remains on my profile affecting my listings overall rating.,2025-05-02 02:20:59,0.15785714285714286
