userName,score,content,at,sentiment,cluster
Karen Procopio,3,it would nice if you could filter/sort search by area easier.,2025-05-08 23:38:49,0.6,0
M. Goldstein,1,"the app may be okay, but this platform is a scam for guests! It will always side with the hosts, even when the hosts violate the platform's own rules! the only safe bet is reserving hotel rooms, but you don't really need Airbnb for that.",2025-05-08 23:17:19,0.415,0
Marlee Craig,5,very easy app to navigate thank you,2025-05-08 20:05:58,0.5633333333333334,0
Thuy Dewstow,5,Very good apps with many options to choose,2025-05-08 20:05:36,0.705,0
Malith Pattiarachchi,5,excellent.,2025-05-08 19:59:58,1.0,0
James Shaw,5,great,2025-05-08 19:50:26,0.8,0
Peter Ridsdale,5,All good 👍,2025-05-08 18:53:02,0.7,0
R L,5,great app. always getting better.,2025-05-08 13:38:33,0.65,0
mike bata,5,Love you more ijykhnnhu,2025-05-08 12:41:04,0.5,0
A Google user,5,great app for vacation,2025-05-08 10:55:30,0.8,0
Tammy Post,5,easy to book a rental for our vacation,2025-05-08 10:40:40,0.4333333333333333,0
